5169
288	1 13	1 16	1 56	1 59	-0.044982036802151466
289	1 13	1 16	1 65	1 68	0.007794858061388797
290	1 13	1 16	1 68	1 71	0.007901912633318586
291	1 13	1 16	1 2	1 63	-0.03007129113151127
292	1 13	1 16	1 69	1 72	0.007721731272390847
293	1 14	1 17	1 1	1 4	8.339005671724106
294	1 14	1 17	1 10	1 13	-6.555918676115299
295	1 14	1 17	1 13	1 16	17.648459176337035
296	1 14	1 17	1 28	1 31	-0.03215238302289655
297	1 14	1 17	1 2	1 5	-3.788390864166773
298	1 14	1 17	1 11	1 3	0.3615230554261761
299	1 14	1 17	1 15	1 18	17.95215505643958
300	1 14	1 17	1 18	1 21	-12.45611186815074
301	1 14	1 17	1 23	1 26	-0.7448475069934215
302	1 14	1 17	1 29	1 32	-0.04784144707845159
303	1 14	1 17	1 32	1 35	-0.05667211051242408
304	1 14	1 17	1 47	1 50	0.2795740880244324
305	1 14	1 17	1 21	1 24	-0.3907178042967657
306	1 14	1 17	1 24	1 27	-0.6630220171014845
307	1 14	1 17	1 27	1 30	-0.010111903883331573
308	1 14	1 17	1 30	1 33	-0.06572943878132972
309	1 14	1 17	1 36	1 39	-0.02093309052643099
310	1 14	1 17	1 48	1 51	0.2740858695821241
311	1 14	1 17	1 31	1 34	-0.06433635524876688
312	1 14	1 17	1 43	1 46	-0.0019475120331957513
313	1 14	1 17	1 46	1 49	0.27904901755001343
314	1 14	1 17	1 52	1 55	-0.14934238157217547
315	1 14	1 17	1 58	1 61	-0.04858962306767208
316	1 14	1 17	1 53	1 56	-0.1847914029217027
317	1 14	1 17	1 2	1 51	0.8415577814735546
318	1 14	1 17	1 57	1 60	-0.05671792453269506
319	1 14	1 17	1 3	1 61	0.38163328069441904
320	1 15	1 18	1 13	1 16	-4.346752931345578
321	1 15	1 18	1 19	1 22	-11.023357910502764
322	1 15	1 18	1 22	1 25	-1.3107085297747112
323	1 15	1 18	1 28	1 31	-0.04259686849155532
324	1 15	1 18	1 14	1 17	18.12396003225855
325	1 15	1 18	1 20	1 23	-2.0513448127907683
326	1 15	1 18	1 23	1 26	-0.9053787600184158
327	1 15	1 18	1 29	1 32	-0.06348073199084339
328	1 15	1 18	1 12	1 21	3.014305615890468
329	1 15	1 18	1 21	1 24	-0.7855021877258919
330	1 15	1 18	1 24	1 27	-0.8787378191271797
331	1 15	1 18	1 27	1 30	-0.013538733702894889
332	1 15	1 18	1 30	1 33	-0.08742507894028667
333	1 15	1 18	1 33	1 36	-0.0518721584696146
334	1 15	1 18	1 31	1 34	-0.08518210426108767
335	1 15	1 18	1 46	1 49	0.36183882821546487
336	1 15	1 18	1 55	1 58	-0.15429038411942758
337	1 15	1 18	1 58	1 61	-0.040911481978210165
338	1 15	1 18	1 32	1 35	-0.07391716027678445
339	1 15	1 18	1 41	1 44	-0.004788652516687403
340	1 15	1 18	1 47	1 50	0.3591014919801039
341	1 15	1 18	1 50	1 53	-0.095895290518206
342	1 15	1 18	1 53	1 56	-0.2616863899228421
343	1 15	1 18	1 48	1 51	0.35104045566134495
344	1 15	1 18	1 60	1 63	-0.009765314875801763
345	1 15	1 18	1 63	1 66	0.01423852437493231
346	1 15	1 18	1 66	1 69	0.016149098807908602
347	1 15	1 18	1 1	1 62	0.21640773324063425
348	1 16	1 19	1 13	1 2	1.9253321351450994
349	1 16	1 19	1 5	1 8	4.1884052697801355
350	1 16	1 19	1 15	1 18	19.72821136528623
351	1 16	1 19	1 24	1 27	-1.1507334854687152
352	1 16	1 19	1 27	1 30	-0.01636723085820229
353	1 16	1 19	1 30	1 33	-0.09939775021072791
354	1 16	1 19	1 20	1 23	-6.296222696383165
355	1 16	1 19	1 23	1 26	-1.203332629052717
356	1 16	1 19	1 26	1 29	-0.011356619147336025
357	1 16	1 19	1 29	1 32	-0.07338027258109303
358	1 16	1 19	1 32	1 35	-0.08531021260237495
359	1 16	1 19	1 22	1 25	-1.3810497424584813
360	1 16	1 19	1 28	1 31	-0.04910792373577446
361	1 16	1 19	1 31	1 34	-0.09764675916316076
362	1 16	1 19	1 37	1 40	-0.02154307195811315
363	1 16	1 19	1 46	1 49	0.4174361334436101
364	1 16	1 19	1 49	1 52	-0.05119039815720686
365	1 16	1 19	1 36	1 39	-0.028464829330595513
366	1 16	1 19	1 48	1 51	0.4029339318156364
367	1 16	1 19	1 51	1 54	-0.205019422630825
368	1 16	1 19	1 54	1 57	-0.24276588774745067
369	1 16	1 19	1 47	1 50	0.4138877505494544
370	1 16	1 19	1 53	1 56	-0.30126460443491854
371	1 16	1 19	1 56	1 59	-0.0756044252612233
372	1 16	1 19	1 55	1 58	-0.17214732599821933
373	1 16	1 19	1 1	1 63	7.144327686039031
374	1 17	1 20	1 7	1 10	-0.12776578729239063
375	1 17	1 20	1 19	1 22	-9.354418010115378
376	1 17	1 20	1 25	1 28	-0.008406795207775233
377	1 17	1 20	1 28	1 31	-0.03978252337227022
378	1 17	1 20	1 2	1 5	-0.3669655398578414
379	1 17	1 20	1 14	1 3	2.0059479343955924
380	1 17	1 20	1 18	1 21	16.554715756597425
381	1 17	1 20	1 24	1 27	-1.0517605226821591
382	1 17	1 20	1 27	1 30	-0.013157425535893427
383	1 17	1 20	1 30	1 33	-0.0794837719682576
384	1 17	1 20	1 36	1 39	-0.021703436334814915
385	1 17	1 20	1 29	1 32	-0.05844928881120625
386	1 17	1 20	1 32	1 35	-0.06732354793044082
387	1 17	1 20	1 41	1 44	-0.003325812875515719
388	1 17	1 20	1 44	1 47	0.0010265294746444479
389	1 17	1 20	1 47	1 50	0.32672490972336493
390	1 17	1 20	1 31	1 34	-0.07756025087410495
391	1 17	1 20	1 40	1 43	-0.004451660590632607
392	1 17	1 20	1 46	1 49	0.3322756839642985
393	1 17	1 20	1 52	1 55	-0.2206597408225126
394	1 17	1 20	1 55	1 58	-0.1346578763272208
395	1 17	1 20	1 48	1 51	0.3135678232033713
396	1 17	1 20	1 51	1 54	-0.17441274456150388
397	1 17	1 20	1 54	1 57	-0.19071312717215028
398	1 17	1 20	1 57	1 60	-0.033973301365133435
399	1 17	1 20	1 69	1 72	0.010864741833425826
400	1 17	1 20	1 56	1 59	-0.053484052980852244
401	1 17	1 20	1 2	1 61	-0.06404993767404003
402	1 17	1 20	1 67	1 70	0.013182828175569965
403	1 18	1 21	1 16	1 19	-6.403411156480388
404	1 18	1 21	1 19	1 22	12.366587102803198
405	1 18	1 21	1 22	1 25	-2.6495127035589308
406	1 18	1 21	1 25	1 28	-0.005789728740423425
407	1 18	1 21	1 28	1 31	-0.025074908778771686
408	1 18	1 21	1 14	1 17	-12.459997830017397
409	1 18	1 21	1 23	1 26	-1.436712369306711
