a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
63,66,2,5,-48.995,1843.369,0.0,-0.02657905172540061,,,,-79039.67863751794,2100.799706865631,-36821,-0.00034217404366359406,-9.09621785044612e-06,-0.026583599834325834,,,,
63,66,8,11,-59.37,1843.369,0.0,-0.03220733342049259,,,,-57903.043264162494,1864.902620470089,-36393,0.0051270019619221886,0.00016470484061466284,-0.03212498100018526,,-0.035669833621440515,-0.0355105394284755,
63,66,3,6,-63.776,1841.844,0.0,-0.03462616812281605,,,,-75209.7281269409,2604.2246905947427,-36754,0.03708485541104969,0.0012607294535251154,-0.03399580339605349,,-0.03816649194345019,-0.037777260318526386,
63,66,6,9,-95.258,1841.844,0.0,-0.05171882092077287,,,,-64465.4812516621,3334.0786804261534,23619,-0.04921877926264163,-0.0024843977191537914,-0.05047662206119598,,,,-0.74821
63,66,43,46,57.301,1842.024,0.0,0.031107629433709878,,,,-2729.6949501191402,-84.91433897537539,23632,-0.04445765728215738,-0.0013528989688763801,0.030431179949271688,,,,-0.07546
63,66,46,49,-174.742,1842.024,0.0,-0.09486412772037715,,,,-1661.5534478986015,157.62181849568594,-22457,0.010433261933229344,0.000984605966598745,-0.09437182473707778,,-0.09937339710635693,-0.09852579622689997,
63,66,58,61,-1585.755,1842.024,0.0,-0.8608764055191465,,,,-27.925268031909276,24.040204366468785,-23302,-0.0005586640656917954,-0.0004810750924489904,-0.8611169430653709,,-0.9717579153235966,-0.977496969737204,
63,66,35,38,22.771,1841.112,0.0,0.012368068862730784,,,,-7574.728953655354,-93.68476931533012,23639,-0.018747769616967225,-0.0002297203336990017,0.012253208695881283,,,,0.13953
63,66,38,41,33.734,1841.112,0.0,0.018322622415149106,,,,-5375.614096142546,-98.49534733317292,23640,-0.025717189757087963,-0.0004652242276271222,0.018090010301335543,,,,0.36337
63,66,41,44,74.957,1841.112,0.0,0.040712895250261796,,,,-3647.7381366681584,-148.5099806585559,23641,-0.03682803474068107,-0.0014722655964044054,0.0399767624520596,,0.045007267707080696,0.045464486519553246,-0.60306
63,66,47,50,-181.329,1841.112,0.0,-0.09848884804400819,,,,-1379.5082407763177,135.8661775012758,-22516,0.007491759755886331,0.0007351011874334457,-0.09812129745029147,,,,
63,66,59,62,-66.828,28.046,0.0,-2.3827996862297653,,,,-9.773843811168247,23.289111966510433,-23373,-0.00017318078181937778,-0.000412690847642061,-2.3830060316535864,,-2.211912250987983,-2.2102017661308375,
63,66,39,42,50.49,1843.429,0.0,0.027389175281499856,,,,-4750.088092227767,-130.10099536059158,-24784,0.04109617086385749,0.0011029271851627394,0.026837711688918485,,0.03079182274434787,0.03008751312225397,
63,66,42,45,70.184,1843.429,0.0,0.038072526796529726,,,,-3166.7253948185116,-120.56523745147896,-24572,0.025830775816234268,0.0009709033115488028,0.03758707514075532,,0.042453425590280314,0.04184325527119025,
63,66,48,51,-199.247,1843.429,0.0,-0.1080849872710042,,,,-1130.9733552923267,122.24124071061604,-22590,-0.0011118550054469612,-0.00012024167976769362,-0.10814510811088804,,,,
63,66,57,60,-775.595,1843.429,0.0,-0.4207349455823902,,,,-56.54866776461626,23.792000654702488,-23236,-0.0038451884509443355,-0.0016209215280318379,-0.42154540634640614,,-0.5377066492203375,-0.545056544154675,
63,66,61,64,-45.663,133.621,0.0,-0.34173520629242404,,,,-31.41592653589794,10.73592813561272,-23522,0.0016436730125292459,0.0005612396887489934,-0.34145458644804955,,-0.36246213205926237,-0.36099365860277055,
63,66,64,67,663.408,133.621,0.0,4.964848339707082,,,,5.026548245743669,24.956049712338,23658,-0.0007633083718586163,-0.003788264495704574,4.96295420745923,,5.930888182188126,5.931438383842496,-0.26642
63,66,67,70,-319.169,133.621,0.0,-2.388614065154429,,,,-9.773843811168247,23.345940797979043,23659,-0.0011494538618254898,-0.0027440245967675914,-2.3872420528560454,,-3.2547589262837415,-3.2551129861006673,0.03049
63,66,70,1,-120.484,133.621,0.0,-0.9016846154421834,,,,-58.2384286234717,52.51269511731212,23660,0.008711745440841854,0.007889612987643235,-0.905629421936005,,-0.8651298437052555,-0.8661966199860611,-0.364
63,66,1,62,-391.164,133.621,0.0,-2.9274141040704675,,,,-8.38590388737663,24.54901331528571,0,,,-2.9274141040704675,,-2.8398016548855294,-2.8398016548855294,0.21972
63,66,62,65,659.288,133.621,0.0,4.934014862933221,,,,5.026548245743669,24.80106375375017,-23592,0.002325413901030427,0.011460301777623805,4.928284712044409,,5.436449682738247,5.409354983851028,
63,66,68,71,-1181.242,927.077,0.0,-1.2741573785133273,,,,-27.925268031909276,35.58118630981955,23664,-0.0352202666725211,-0.044099563461374114,-1.2521075967826403,,,,0.21163
63,66,71,2,-628.383,927.077,0.0,-0.6778110124617481,,,,-82.92615091017275,56.20825830797991,23665,0.007364588865378377,0.005010248645901827,-0.680316136784699,,-0.6809145578682421,-0.678770575695848,-0.42657
64,67,4,7,-83.275,1861.109,0.0,-0.044744826874729,,,,-75209.7281269409,3365.2462643354065,23669,0.009866878212666996,0.00044368062878458875,-0.04496666718912129,,-0.04846754884202412,-0.04853765870689256,-0.33734
64,67,7,10,-78.028,1861.109,0.0,-0.0419255400946425,,,,-64465.4812516621,2702.7501189369837,-36463,0.001515427761433659,6.348702237442272e-05,-0.04189379658345529,,-0.045441015973806925,-0.045465869295281416,
64,67,28,31,-13.342,1861.109,0.0,-0.007168843952718514,,,,-16172.918980680128,115.9411324324552,23677,-0.042866830925772835,-0.0003008572237821012,-0.0070184153408274635,,,,
64,67,2,5,-55.583,1858.013,0.0,-0.029915291227779355,,,,-82997.38724933649,2482.891010708682,-36827,0.012554482123485094,0.000373228145895195,-0.029728677154831757,,-0.031935973331598574,-0.03165027869418602,
64,67,8,11,-54.569,1858.013,0.0,-0.029369546929973043,,,,-61125.61919504549,1795.2317415725495,23680,-0.005917996675957435,-0.0001732960982392881,-0.0292828988808534,,-0.03192542412217391,-0.03158850391991136,-0.28345
64,67,3,6,-68.31,1856.373,0.0,-0.0367975616969219,,,,-79039.67863751794,2908.4674511689464,-36741,0.03945625101681932,0.0014238048307207082,-0.036085659281561544,,-0.04007136623405873,-0.039582164812713164,
64,67,6,9,-92.196,1856.373,0.0,-0.04966458788185348,,,,-67924.72382911498,3373.4534159617083,-36529,0.0475622992627749,0.0023072919368066075,-0.04851094191345018,,,,
64,67,15,18,16.983,1856.373,0.0,0.009148484706467935,,,,-40913.31019354928,-374.29479259666425,23692,0.039358678978703786,0.00036730050401660545,0.009332134958476238,,,,-1.14929
64,67,18,21,16.554,1856.373,0.0,0.008917388908371323,,,,-33832.16035235902,-301.6945314723663,-35689,0.04459372616193095,0.0003889864220661867,0.00872289569733823,,,,
64,67,46,49,-157.362,1855.828,0.0,-0.08479341835558037,,,,-1979.203371761568,167.8234195125539,-22453,-0.004143570464720442,-0.0003520769316885941,-0.08496945682142466,,,,
64,67,58,61,-41.498,79.436,0.0,-0.5224079762324386,,,,-56.54866776461626,29.54147508555372,-23307,-0.00787785601320686,-0.004131729401565476,-0.5244738409332214,,-0.5877802074142275,-0.5746129279725589,
64,67,35,38,17.242,1858.049,0.0,0.009279626102433252,,,,-8422.260838423801,-78.15543151773888,-25069,-0.04535495313680534,-0.00043064290130666663,0.009494947553086585,,0.010818535470514506,0.010886994889089837,
64,67,38,41,29.521,1858.049,0.0,0.015888170871704677,,,,-6053.499977617167,-96.179042016242,-24851,0.03607674748884307,0.0005630372522106731,0.015606652245599342,,,,
64,67,41,44,72.031,1858.049,0.0,0.03876700775921411,,,,-4174.827570770416,-161.8455728294377,-24638,-0.024033745568495964,-0.0009430488995925898,0.0392385322090104,,0.04243444715852048,0.042782670720917904,
64,67,47,50,-168.824,1858.049,0.0,-0.09086089764048204,,,,-1661.5534478986015,150.97023775370482,-22529,0.007310031391975391,0.0006617772079725998,-0.09053000903649575,,,,
64,67,59,62,-50.298,42.92,0.0,-1.171901211556384,,,,-27.925268031909276,32.72565543963124,-23375,-0.001638087148174469,-0.0019212499009662043,-1.172861836506867,,-0.9878909577704759,-0.9816962873162973,
64,67,39,42,46.385,1858.546,0.0,0.02495768197289709,,,,-5375.614096142546,-134.16286702054833,-24720,0.021849883196177866,0.0005394292034115802,0.0246879673711913,,0.02792189772304147,0.027377284231639733,
64,67,42,45,68.997,1858.546,0.0,0.037124182021860096,,,,-3647.7381366681584,-135.4192945537495,23721,-0.02276444749086047,-0.0008356005004202041,0.03670638177164999,,0.04096119124062977,0.04019475032884498,0.03382
64,67,45,48,37.816,1858.546,0.0,0.02034708853049642,,,,-2334.552407467609,-47.50134451382699,-24356,0.015381698564472772,0.00031058412673258193,0.02019179646713013,,0.021403129149424965,0.02088599552157016,
64,67,48,51,-185.527,1858.546,0.0,-0.09982373317636474,,,,-1379.5082407763177,137.70766254185148,-22593,-0.005484279452852383,-0.0005489665918661929,-0.10009821647229783,,,,
64,67,57,60,-524.067,1858.546,0.0,-0.2819768786998008,,,,-97.73843811168241,27.559979707725862,-23230,-0.011514398856745323,-0.003265594930999649,-0.28360967616530064,,-0.48244420011381284,-0.4871025204879418,
