a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
101,104,81,78,-64.439,600.98,0.0,-0.10722320210323137,,,,4174.827570770416,-447.63838036685877,-10891,-0.0058947905511063355,-0.0006339267513294083,-0.10754016547889608,,-0.10795027484030005,-0.10872288166264163,
101,104,78,75,-21.127,600.98,0.0,-0.03515424806149955,,,,6053.499977617167,-212.80623985343584,-11085,0.013639134728873495,0.00047622587119373894,-0.03491613512590268,,-0.03530970609155066,-0.035307481815276265,
101,104,75,97,-921.64,600.98,0.0,-1.5335618489799994,,,,-60.90477879025502,93.40124517330135,-11299,-0.009361534145866377,-0.014424007031195618,-1.5407738524955972,,-1.5296539988464948,-1.5442227285309276,
101,104,100,103,59.5,2.452,0.0,24.265905383360522,,,,5.026548245743669,121.97374413611269,11780,-0.020188644278995655,-0.4849999857981331,24.023405390461456,,23.855387136419502,23.58342297916844,0.57149
101,104,89,86,-7.949,601.581,0.0,-0.01321351571941268,,,,1130.9733552923267,-14.944134208392061,-10332,-0.03383386710516636,-0.00045475743617291557,-0.01344089443749914,,,,
101,104,80,77,-51.015,601.581,0.0,-0.08480154792122756,,,,4750.088092227767,-402.8148229831054,-10950,-0.03323851014714713,-0.0028663130995964237,-0.08623470447102577,,-0.08472690861051975,-0.08683623352906061,
101,104,74,98,-1078.234,601.581,0.0,-1.792333866927313,,,,-38.5559098395111,69.10506297555177,-11374,-0.002770217539924934,-0.004972041533896743,-1.7948198876942614,,-1.7811701151939952,-1.79135672419857,
101,104,98,94,1218.909,601.581,0.0,2.0261760261710395,,,,50.74880440414281,102.82601084051743,0,,,2.0261760261710395,,2.013660038874818,2.013660038874818,-0.18816
101,104,85,82,-22.024,601.274,0.0,-0.03662889132076225,,,,2334.552407467609,-85.51206641575492,-10600,-0.0036131058865914102,-0.00013258358211085813,-0.03669518311181767,,-0.03677030478231279,-0.03697562258764156,
101,104,82,79,-61.44,601.274,0.0,-0.10218303136340504,,,,3647.7381366681584,-372.7369404246511,-10815,0.010161289666257897,0.0010330627557077893,-0.10166649998555113,,-0.10309229722171682,-0.10270829843733251,
101,104,79,76,-30.134,601.274,0.0,-0.050116918409909623,,,,5375.614096142546,-269.40921305953606,-11008,0.024554815481656778,0.0012156862087943088,-0.04950907530551247,,-0.05027257228724873,-0.04983754116250594,
101,104,76,73,-13.309,601.274,0.0,-0.022134667389576132,,,,7574.728953655354,-167.6641059553533,-11221,-0.034172394652718784,-0.0007695431557536159,-0.02251943896745294,,,,
101,104,73,99,-1479.552,601.274,0.0,-2.4606951240199972,,,,-21.188053017217875,52.13733874694522,-11434,-0.013483421986107297,-0.03340378943073308,-2.4773970187353638,,-2.4596464983389597,-2.469147409716995,
101,104,102,105,78.783,3.306,0.0,23.830308529945555,,,,5.026548245743669,119.78419553672822,-11862,0.0006751073843581167,0.016082588522962737,23.822267235684073,,22.347748285117806,22.114737658008053,
101,104,105,108,-51.897,3.306,0.0,-15.697822141560797,,,,-9.773843811168247,153.42806178711388,11800,0.00821555307500645,0.1294982408012153,-15.762571261961405,,-15.54428869668953,-15.715602292269999,-1.03472
101,104,103,106,-6971.713,546.81,0.0,-12.74979060368318,,,,-31.41592653589794,400.5464849533926,11801,0.04495694453865949,0.5863723844322681,-13.042976795899314,,-12.565675487515161,-12.798667308147014,-0.23443
101,104,49,52,16.081,601.465,0.0,0.02673638532582943,,,,-48918.08827489884,-1307.892857520634,11807,-0.04740169476808707,-0.001238008134559529,0.026117381258549666,,,,-0.92275
101,104,55,58,66.444,601.465,0.0,0.11047026842792182,,,,-33832.16035235902,-3737.4478356215945,-13522,-0.027390661803623213,-0.003067869246357033,0.11200420305110034,,,,
101,104,58,61,19.302,601.465,0.0,0.032091642905239706,,,,-27618.090083558098,-886.3098846862883,-18382,0.032646218295279396,0.0010308441973903952,0.03157622080654451,,0.025743347139833717,0.02519059013881868,
101,104,110,113,-1988.79,599.86,0.0,-3.315423598839729,,,,-226.194671058465,749.9311503590246,-15016,0.003450354089183631,0.01141968439425911,-3.3097137566425996,,,,
101,104,50,53,22.424,599.86,0.0,0.037382055813023035,,,,-46143.712895927434,-1724.9468508956702,-13260,0.01076181750803417,0.0004001457151533508,0.03718198295544636,,,,
