a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
64,67,113,110,-10.435,766.175,0.0,-0.013619603876398996,,,,33832.16035235902,-460.7806222819413,-12494,-0.04167695980476912,-0.000579703829922739,-0.013909455791360366,,
64,67,107,104,-2.887,766.175,0.0,-0.003768068652722942,,,,22214.55071938395,-83.70595220003455,18718,0.03659979579595216,0.0001404813373651415,-0.0038383093214055127,,0.48068
64,67,20,17,-10.421,766.175,0.0,-0.01360133128854374,,,,36093.4089312423,-490.91841220671,18723,0.011053100199083003,0.00015117233907878044,-0.01367691745808313,,
64,67,118,115,-18.771,766.54,0.0,-0.02448795888016281,,,,46143.712895927434,-1129.9653439735093,-12836,0.023746812959254824,0.0005746874812178962,-0.024200615139553863,,
64,67,115,112,-17.229,766.54,0.0,-0.022476322174968037,,,,38453.09407993839,-864.2841311650513,18725,0.055374178785027435,0.0012800487054820085,-0.02311634652770904,,-0.55882
64,67,112,109,-8.774,766.54,0.0,-0.011446238943825501,,,,31667.253948185782,-362.470955385736,18726,-0.05738660045263975,-0.0006385389511239601,-0.011126969468263522,,-0.03043
64,67,103,100,-1.108,766.54,0.0,-0.0014454562058079162,,,,16172.918980680128,-23.37724610665273,-15778,-0.05071944064082827,-7.522029589572586e-05,-0.0014830663537557791,,
64,67,97,22,-16.698,766.54,0.0,-0.02178359902940486,,,,-1360.7023180860801,29.64099369556888,0,,,-0.02178359902940486,,-0.3752
64,67,9,6,50.259,766.584,0.0,0.06556228671613287,,,,67924.72382911498,4453.300218798579,18737,-0.047336466139029844,-0.0030317312434612192,0.06404642109440226,,-0.84832
64,67,6,3,37.028,766.584,0.0,0.04830259958465087,,,,79039.67863751794,3817.821948527512,18738,-0.02648256728110978,-0.0012624602491096357,0.04767136946009605,,-0.42826
64,67,3,49,-112.755,766.584,0.0,-0.14708759901067595,,,,-607.5013730133792,89.355918352227,-17765,-0.05487401668467601,-0.008298986730375019,-0.15123709237586347,,
64,67,11,8,29.911,766.985,0.0,0.0389981551138549,,,,61125.61919504549,2383.7863787988103,-555,0.026104934331299498,0.0010049274951546491,0.038495691366277576,,
64,67,8,5,49.219,766.985,0.0,0.06417205030085334,,,,71505.44132250796,4588.6507773326975,-342,0.08200711960362464,0.0050552805076226545,0.061644410047042006,,
64,67,5,2,29.517,766.985,0.0,0.038484455367445256,,,,82997.38724933649,3194.10924521166,18744,0.04039539045147903,0.0015866410941323891,0.039277775914511454,,-0.36437
64,67,2,50,-133.395,766.985,0.0,-0.17392126312770134,,,,-529.7516135309625,92.13506976924288,-17841,0.034304500336435534,0.005865672546554179,-0.17098842685442425,,
64,67,10,7,42.561,766.803,0.0,0.0555044776820122,,,,64465.4812516621,3578.1228653930552,18748,-0.007923626306026447,-0.00043806122274933634,0.05528544707063753,,-1.02348
64,67,7,4,44.502,766.803,0.0,0.05803576668322894,,,,75209.7281269409,4364.8542338842235,-17477,0.020003412584340585,0.0011494172518529688,0.05746105805730246,,
64,67,1,51,-161.586,766.803,0.0,-0.21072687509047305,,,,-458.57390527498427,96.63384605663204,-17905,0.09895904744195777,0.019870164551126418,-0.20079179281490983,,
64,67,119,63,-288.113,64.281,0.0,-4.482086464118479,,,,-8.365879878274495,37.496596962855264,0,,,-4.482086464118479,,0.17536
64,67,72,118,-48.819,64.281,0.0,-0.7594623605731087,,,,-85.01052486353514,64.56229388641934,18754,0.022928468572635714,0.01761525426844679,-0.768269987707332,,-1.24408
64,67,70,120,-50.906,34.028,0.0,-1.4960032914070764,,,,-37.92914032212003,56.74211876213242,18755,4.2618389223614084e-05,6.375860919760612e-05,-1.4960351707116752,,-0.99637
65,68,120,117,-14.187,740.722,0.0,-0.019152934569244603,,,,48918.08827489884,-936.924943981669,18756,-0.0871064514711017,-0.0015987149715426877,-0.01835357708347326,,-0.73598
65,68,117,114,-18.323,740.722,0.0,-0.0247366758378987,,,,40913.31019354928,-1012.0592917132252,-12776,-0.025013368766843912,-0.0006265840841797495,-0.025049967879988574,,
65,68,114,111,-11.16,740.722,0.0,-0.01506638117944384,,,,33832.16035235902,-509.72822399270797,18758,0.02718879069093056,0.0004152821946922531,-0.015274022276789968,,-0.10177
65,68,116,113,-16.724,739.813,0.0,-0.0226057125246515,,,,38453.09407993839,-869.2595904544656,-14852,0.014662476218149085,0.0003290434265785444,-0.022441190811362227,,
65,68,118,115,-17.681,739.413,0.0,-0.023912211443401728,,,,43476.15166717937,-1039.6109314109956,18776,-0.03902264755322034,-0.0009152598677544532,-0.0234545815095245,,-0.53006
65,68,100,97,0.305,739.413,0.0,0.0004124893665650996,,,,11337.658820955263,4.676663705387051,-15996,-0.07921419572336653,-3.402254779699465e-05,0.00042950064046359696,,
65,68,97,22,-5.98,739.413,0.0,-0.008087496432981298,,,,-1322.9312249247457,10.69920156265846,0,,,-0.008087496432981298,,0.72416
65,68,12,9,8.96,738.637,0.0,0.012130451087611373,,,,61125.61919504549,741.4813338454582,-17124,-0.00830755953251522,-0.00010119478541871854,0.012181048480320733,,
65,68,9,6,38.558,738.637,0.0,0.0522015550263526,,,,71505.44132250796,3732.6952298805263,18789,0.009835742882189457,0.0005159785896599739,0.052459544321182584,,-0.38008
65,68,6,3,35.8,738.637,0.0,0.04846765055094722,,,,82997.38724933649,4022.6883618424836,-17551,0.03256353702311605,0.00155299266605044,0.047691154217922,,
